,30/05/2022
0,"רע""א 3484/22"
1,"ע""א 3339/22"
2,"בש""פ 3665/22"
3,"בש""פ 3654/22"
4,"בש""פ 3647/22"
5,"בש""פ 3635/22"
6,"בג""ץ 1386/22"
7,"בש""פ 3649/22"
8,"בש""פ 3642/22"
9,"בש""פ 3638/22"
10,"בש""פ 3630/22"
11,"בש""פ 3629/22"
12,"ע""פ 2728/22"
13,"בש""פ 3628/22"
14,"בש""פ 3625/22"
15,"בש""פ 3622/22"
16,"בש""פ 3621/22"
17,"בש""פ 3616/22"
18,"בג""ץ 3659/22"
19,"בש""פ 3633/22"
20,"בש""פ 3620/22"
21,"בג""ץ 3605/22"
22,"בג""ץ 3549/22"
23,"בש""פ 3469/22"
24,"עע""מ 2392/22"
25,"בג""ץ 2335/22"
26,"בג""ץ 3636/22"
27,"בש""פ 3643/22"
28,"רע""א 3433/22"
29,"בג""ץ 3138/22"
30,"בש""א 3607/22"
31,"בש""פ 2605/22"
32,"רע""א 2434/22"
33,"בש""א 1974/22"
34,"רע""א 1826/22"
35,"רע""א 3165/22"
36,"עע""מ 998/22"
37,"בג""ץ 2959/21"
38,"בג""ץ 3249/22"
39,"עע""מ 965/22"
40,"רע""א 3079/22"
41,"בג""ץ 6902/21"
42,"בש""פ 3573/22"
43,"רע""א 2802/22"
44,"בש""פ 3610/22"
45,"עע""מ 7329/21"
46,"ע""פ 560/21"
47,"בש""א 3606/22"
48,"ע""א 3427/22"
49,"ע""א 3351/22"
50,"ע""א 3112/22"
51,"ע""א 2961/22"
52,"עע""מ 2236/22"
53,"עע""מ 36/22"
54,"רע""א 8828/21"
55,"דנ""א 8656/21"
56,"ע""א 5554/21"
57,"ע""א 5554/21"
58,"רע""א 3773/21"
59,"ע""א 3971/20"
60,"בר""ש 3462/22"
61,"בש""א 3425/22"
62,"בג""ץ 3400/22"
63,"רע""א 3216/22"
64,"בש""פ 3144/22"
65,"ע""א 2877/22"
66,"ע""א 2417/22"
67,"עע""מ 2282/22"
68,"רע""א 2227/22"
69,"ע""פ 2200/22"
70,"בש""א 660/22"
71,"ע""א 23/22"
72,"ע""א 7012/21"
73,"ע""א 6681/21"
74,"ע""א 4488/21"
75,"ע""א 4059/21"
76,"בג""ץ 32/20"
77,"עע""מ 3211/22"
78,"בג""ץ 3100/22"
79,"ע""א 3086/22"
80,"ע""א 2901/22"
81,"ע""א 2028/22"
82,"רע""א 1652/22"
83,"בג""ץ 1026/22"
84,"ע""א 4833/21"
85,"ע""א 4833/21"
86,"ע""א 8667/20"
87,"ע""א 8348/20"
88,"ע""א 7864/20"
89,"ע""א 6219/20"
90,"בש""פ 3444/22"
91,"בש""מ 3435/22"
92,"ע""א 3154/22"
93,"ע""א 1452/22"
94,"ע""א 196/22"
95,"בש""פ 3614/22"
96,"בש""פ 3585/22"
97,"ע""פ 3434/22"
98,"ע""א 4948/20"
99,"בש""א 3601/22"
100,"רע""א 3612/22"
101,"בש""פ 2419/22"
102,"בש""א 2525/22"
103,"ע""פ 798/19"
104,"מ""ח 3551/22"
105,"בש""פ 3564/22"
106,"בש""פ 3573/22"
107,"ע""א 1352/22"
108,"ע""א 1351/22"
109,"ע""א 399/22"
110,"ע""א 1950/21"
111,"בג""ץ 2193/21"
112,"עע""מ 7635/20"
113,"בג""ץ 3549/22"
114,"עע""מ 2978/22"
115,"רע""א 2972/22"
116,"בר""מ 1937/22"
117,"ע""א 544/22"
118,"ע""א 4938/21"
119,"בג""ץ 4308/21"
120,"עע""מ 8831/20"
121,"רע""ב 3578/22"
122,"רע""א 3063/22"
123,"עע""מ 2673/22"
124,"ע""א 1622/22"
125,"ע""א 1317/22"
126,"ע""א 122/21"
127,"ע""א 1062/20"
128,"ע""פ 560/21"
129,"רע""א 1965/22"
130,"עע""מ 998/22"
131,"ע""פ 1810/22"
132,"ע""פ 5813/21"
133,"עע""מ 5427/21"
134,"ע""פ 6618/21"
135,"בש""פ 2605/22"
136,"בש""פ 3595/22"
137,"בע""מ 2558/22"
138,"בש""פ 3555/22"
139,"ע""פ 1226/22"
140,"ע""א 7989/20"
141,"בש""פ 3575/22"
142,"בש""פ 3570/22"
143,"בש""פ 3554/22"
144,"בג""ץ 3137/22"
145,"בש""פ 2938/22"
146,"בש""פ 3559/22"
147,"ע""א 8218/21"
148,"בש""פ 3558/22"
149,"ע""פ 3552/22"
150,"בש""פ 3496/22"
151,"בר""ש 2388/22"
152,"רע""פ 3032/22"
153,"רע""א 2876/22"
154,"בש""א 2422/22"
155,"רע""ב 1329/22"
156,"ע""פ 8778/21"
157,"ע""פ 8778/21"
158,"ע""פ 7049/20"
159,"ע""פ 4685/21"
160,"ע""א 8503/20"
161,"ע""א 6876/20"
162,"ע""א 4309/20"
163,"ע""א 1992/20"
164,"בש""פ 3589/22"
165,"בש""א 3403/22"
166,"ע""א 3388/22"
167,"ע""פ 2306/22"
168,"ער""א 3507/22"
169,"בש""פ 3357/22"
170,"ע""א 7417/20"
171,"בג""ץ 3572/22"
172,"בג""ץ 3320/22"
173,"רע""פ 2921/22"
174,"ע""פ 742/22"
175,"בג""ץ 8222/21"
176,"בג""ץ 4963/21"
177,"ע""א 8410/20"
178,"ע""א 1505/20"
179,"ע""פ 3586/22"
180,"ע""א 3555/21"
181,"ע""פ 2508/21"
182,"עע""מ 7688/20"
183,"רע""א 3515/22"
184,"ע""פ 3340/22"
185,"רע""א 413/22"
186,"בג""ץ 8029/21"
187,"בע""מ 3411/22"
188,"ערג""ץ 3538/22"
189,"בג""ץ 1003/22"
190,"בש""פ 3545/22"
191,"בש""פ 3535/22"
192,"ע""פ 1607/22"
193,"רע""א 7153/21"
194,"רע""א 2030/22"
195,"בש""פ 3436/22"
196,"ע""א 3254/22"
197,"רע""פ 3539/22"
198,"בש""פ 2716/22"
199,"בש""פ 3488/22"
